Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type
956,Platform,Oratory (Male),Video ,No,No,No,Yes,1
957,Platform,Dramatic Monologue (Male),Video,No,No,No,Yes,1
958,Platform,Expressive Reading (Male),Video,No,No,No,Yes,1
959,Platform,Dramatic Narrative (Male),Video,No,No,No,Yes,0
960,Platform,Poetry Recitation (Male),Video,No,No ,No,Yes,1
961,Platform,Illustrated Storytelling (Male),Video ,No,Yes,No,Yes,1
962,Platform,Ventriloquism (Male),Video ,No,Yes,No,Yes,0
963,Platform,Clown Act (Male),Video,No,Yes,No,Yes,1
964,Platform,Famous Speech (Male),Video,Yes,No,No,Yes,1
965,Platform,Preaching (Male),Video,No,No,No,Yes,1
970,Platform,Oratory (Female),Video,No,No,No,Yes,1
971,Platform,Dramatic Monologue (Female),Video ,No,No,No,Yes,1
972,Platform,Expressive Reading (Female),Video ,No,No,No,Yes,1
973,Platform,Dramatic Narrative (Female),Video ,No,No,No,Yes,0
974,Platform,Poetry Recitation (Female),Video ,No,No,No,Yes,1
975,Platform,Illustrated Storytelling (Female),Video,No,Yes,No,Yes,1
976,Platform,Ventriloquism (Female),Video,No,Yes,No,Yes,0
977,Platform,Clown Act (Female),Video,No,Yes,No,Yes,1
978,Platform,Famous Speech (Female),Video,Yes,No,No,Yes,1
979,Platform,Preaching (Female),Video ,No,No,No,Yes,1
1000,Scripture,Golden Apple Award,Document ,No,No,No,No,2
1001,Scripture,Golden Lamb Award,Document ,No,No,No,No,2
1002,Scripture,Golden Harp Award,Document ,No,No,No,No,2
1003,Scripture,Christian Soldier Award,Document ,No,No,No,No,2
1004,Scripture,Pastels,Document ,No,No,No,No,2
1005,Scripture,Silver Apple Award,Document ,No,No,No,No,2
1050,Scripture,Golden Apple Award,Document ,No,No,No,No,2
1051,Scripture,Golden Lamb Award,Document ,No,No,No,No,2
1052,Scripture,Golden Harp Award,Document ,No,No,No,No,2
1053,Scripture,Christian Soldier Award,Document ,No,No,No,No,2
1054,Scripture,Christian Worker Award,Document ,No,No,No,No,2
1055,Scripture,Silver Apple Award,Document ,No,No,No,No,2
1056,Scripture,Bible Memory,Nil,No,No,No,No,2
1057,Scripture,Bible Bowl,Nil,No,No,No,No,2
1058,Scripture,Group Bible Speaking,Video ,No,No,No,Yes,1
