Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender
411,Exhibits - Media Arts,Digital Art,Image,Yes,Yes,No,No,1,2,
412,Exhibits - Media Arts,Posters,Image,Yes,Yes,No,No,1,2,
413,Exhibits - Media Arts,Graphic Design,Image,Yes,Yes,No,No,1,2,
414,Exhibits - Media Arts,Linear Powerpoint Presentation,Document ,no,Yes,No,No,2,2,
415,Exhibits - Media Arts,Non-Linear Powerpoint Presentation,Document ,no,Yes,No,No,2,2,
450,Exhibits - Media Arts,Portrait Photo,Image,Yes,No,No,No,1,4,
451,Exhibits - Media Arts,Nature Photo,Image,Yes,No,No,No,1,4,
452,Exhibits - Media Arts,Structure/Vehicle Photo,Image,Yes,No,No,No,1,4,
453,Exhibits - Media Arts,Scapes Photo,Image,Yes,No,No,No,1,4,
454,Exhibits - Media Arts,Event/Action Photo,Image,Yes,No,No,No,1,4,
455,Exhibits - Media Arts,Macro Photo,Image,Yes,No,No,No,1,4,
456,Exhibits - Media Arts,General Photo,Image,Yes,No,No,No,1,4,
457,Exhibits - Media Arts,Composite Photo,Image,Yes,No,No,No,1,4,
461,Exhibits - Media Arts,Digital Art,Image,Yes,Yes,No,No,1,4,
462,Exhibits - Media Arts,Posters,Document ,Yes,Yes,No,No,1,4,
463,Exhibits - Media Arts,Graphic Design,Document ,Yes,Yes,No,No,1,4,
464,Exhibits - Media Arts,Linear Powerpoint Presentation,Document ,No,Yes,No,No,2,4,
465,Exhibits - Media Arts,Non-Linear Powerpoint Presentation,Document ,No,Yes,No,NO,2,4,
466,Exhibits - Media Arts,Web Site Development,Document ,No,Yes,No,No,2,4,
467,Exhibits - Media Arts,Radio Play,Video/Audio ,Yes,Yes,No,Yes,2,4,
468,Exhibits - Media Arts,Video Production,Video ,Yes,Yes,No,Yes,2,4,
500,Exhibits - Visual Arts,Oil,Image,Yes,No,No,No,0,2,
501,Exhibits - Visual Arts,Watercolour,Image ,Yes,No,No,No,1,2,
502,Exhibits - Visual Arts,Acrylics,Image ,Yes,No,No,No,0,2,
503,Exhibits - Visual Arts,Sketching,Image ,Yes,No,No,No,1,2,
504,Exhibits - Visual Arts,Pastels,Image ,Yes,No,No,No,0,2,
505,Exhibits - Visual Arts,Coloured Pencils,Image ,Yes,No,No,No,1,2,
506,Exhibits - Visual Arts,Pen and Ink,Image ,Yes,No,No,No,1,2,
507,Exhibits - Visual Arts,Prints,Image ,Yes,No,No,No,0,2,
508,Exhibits - Visual Arts,Mixed Media,Image ,Yes,No,No,No,0,2,
509,Exhibits - Visual Arts,Comic Strip,Image ,Yes,No,No,No,1,2,
510,Exhibits - Visual Arts,Geometric Abstract,Image ,Yes,No,No,No,1,2,
550,Exhibits - Visual Arts,Oil,Image ,Yes,No,No,No,0,4,
551,Exhibits - Visual Arts,Watercolour,Image ,Yes,No,No,No,1,4,
552,Exhibits - Visual Arts,Acrylics,Image ,Yes,No,No,No,0,4,
553,Exhibits - Visual Arts,Sketching,Image ,Yes,No,No,No,1,4,
554,Exhibits - Visual Arts,Pastels,Image ,Yes,No,No,No,0,4,
555,Exhibits - Visual Arts,Coloured Pencils,Image ,Yes,No,No,No,1,4,
556,Exhibits - Visual Arts,Pen and Ink,Image ,Yes,No,No,No,1,4,
557,Exhibits - Visual Arts,Prints,Image ,Yes,No,No,No,0,4,
558,Exhibits - Visual Arts,Mixed Media,Image ,Yes,No,No,No,0,4,
559,Exhibits - Visual Arts,Comic Strip,Image ,Yes,No,No,No,1,4,
560,Exhibits - Visual Arts,Geometric Abstract,Image ,Yes,No,No,No,1,4,
600,Music - Combined,Self Accompanied Solo,Video,No,Yes,Yes,No,1,2,
601,Music - Combined,Self Accompanied Duet,Video,No,Yes,Yes,No,0,2,
602,Music - Combined,Self Accompanied Trio,Video,No,Yes,Yes,No,0,2,
603,Music - Combined,Self Accompanied Small Group,Video ,No,Yes,Yes,No,1,2,
650,Music - Combined,Self Accompanied Solo,Video,No,Yes,Yes,No,1,4,
651,Music - Combined,Self Accompanied Duet,Video,No,Yes,Yes,No,0,4,
652,Music - Combined,Self Accompanied Trio,Video,No,Yes,Yes,No,0,4,
653,Music - Combined,Self Accompanied Small Group,Video,No,Yes,Yes,No,1,4,
654,Music - Combined,Combined Ensemble,Video ,No,Yes,Yes,No,1,4,
700,Music - Instrumental,Piano Solo,Video ,No,Yes,Yes,No,1,2,
702,Music - Instrumental,Instrumental Solo,Video,No,Yes,Yes,No,1,2,
703,Music - Instrumental,String Solo - Plucked,Video,No,Yes,Yes,No,0,2,
704,Music - Instrumental,String Solo - Bow,Video,No,Yes,Yes,No,0,2,
705,Music - Instrumental,Brass Solo,Video,No,Yes,Yes,No,0,2,
706,Music - Instrumental,Tambourine Solo,Video ,No,Yes,Yes,No,1,2,
707,Music - Instrumental,Miscellaneous Solo,Video ,No,Yes,Yes,No,0,2,
708,Music - Instrumental,Piano Duet,Video,No,Yes,Yes,No,1,2,
709,Music - Instrumental,Instrumental Duet,Video,No,Yes,Yes,No,0,2,
710,Music - Instrumental,Tambourine Duet,Video,No,Yes,Yes,No,0,2,
711,Music - Instrumental,Instrumental Trio,Video,No,Yes,Yes,No,0,2,
712,Music - Instrumental,Tambourine Trio,Video ,No,Yes,Yes,No,0,2,
713,Music - Instrumental,Instrumental Small Group,Video ,No,Yes,Yes,No,1,2,
714,Music - Instrumental,Tambourine Small Group,Video,No,Yes,Yes,No,1,2,
715,Music - Instrumental,Music Instrumental Composition,Video,No,Yes,Yes,No,2,2,
716,Music - Instrumental,Music Instrumental Arranging,Video,No,Yes,Yes,No,2,2,
750,Music - Instrumental,Piano Solo,Video,No,Yes,Yes,No,1,4,
752,Music - Instrumental,Instrumental Solo,Video ,No,Yes,Yes,No,1,4,
753,Music - Instrumental,String Solo - Plucked,Video ,No,Yes,Yes,No,0,4,
754,Music - Instrumental,String Solo - Bow,Video,No,Yes,Yes,No,0,4,
755,Music - Instrumental,Brass Solo,Video,No,Yes,Yes,No,0,4,
756,Music - Instrumental,Tambourine Solo,Video,No,Yes,Yes,No,1,4,
757,Music - Instrumental,Miscellaneous Solo,Video,No,Yes,Yes,No,0,4,
758,Music - Instrumental,Piano Duet,Video ,No,Yes,Yes,No,1,4,
764,Music - Instrumental,Instrumental Duet,Video ,No,Yes,Yes,No,0,4,
770,Music - Instrumental,Tambourine Duet,Video,No,Yes,Yes,No,0,4,
771,Music - Instrumental,Instrumental Trio,Video,No,Yes,Yes,No,0,4,
772,Music - Instrumental,Tambourine Trio,Video,No,Yes,Yes,No,0,4,
773,Music - Instrumental,Instrumental Small Group,Video,No,Yes,Yes,No,1,4,
774,Music - Instrumental,Tambourine Small Group,Video ,No,Yes,Yes,No,1,4,
775,Music - Instrumental,Music Instrumental Composition,Video ,No,Yes,Yes,No,2,4,
776,Music - Instrumental,Music Instrumental Arranging,Video,No,Yes,Yes,No,2,4,
