Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo
757,Music - Instrumental,Miscellaneous Solo,Video,No,Yes,Yes,No,0,4,,FALSE,1,1
758,Music - Instrumental,Piano Duet,Video ,No,Yes,Yes,No,1,4,,TRUE,2,2
764,Music - Instrumental,Instrumental Duet,Video ,No,Yes,Yes,No,0,4,,TRUE,2,2
770,Music - Instrumental,Tambourine Duet,Video,No,Yes,Yes,No,0,4,,TRUE,2,2
771,Music - Instrumental,Instrumental Trio,Video,No,Yes,Yes,No,0,4,,TRUE,3,3
772,Music - Instrumental,Tambourine Trio,Video,No,Yes,Yes,No,0,4,,TRUE,3,3
773,Music - Instrumental,Instrumental Small Group,Video,No,Yes,Yes,No,1,4,,TRUE,2,4
774,Music - Instrumental,Tambourine Small Group,Video ,No,Yes,Yes,No,1,4,,TRUE,2,4
775,Music - Instrumental,Music Instrumental Composition,Video ,No,Yes,Yes,No,2,4,,TRUE,1,2
776,Music - Instrumental,Music Instrumental Arranging,Video,No,Yes,Yes,No,2,4,,TRUE,1,2
777,Music - Instrumental,Instrumental Ensemble,Video,No,Yes,Yes,No,1,4,,TRUE,5,20
778,Music - Instrumental,Tambourine Ensemble,Video,No,Yes,Yes,No,1,4,,TRUE,5,20
779,Music - Instrumental,Handbell Ensemble,Video,No,Yes,Yes,No,1,4,,TRUE,5,20
800,Music - Vocal,Male Solo,Video ,No,Yes,Yes,No,1,2,M,FALSE,1,1
801,Music - Vocal,Male Duet,Video ,No,Yes,Yes,No,0,2,M,TRUE,2,2
802,Music - Vocal,Male Trio,Video,No,Yes,Yes,No,0,2,M,TRUE,3,3
803,Music - Vocal,Male Quartet,Video,No,Yes,Yes,No,1,2,M,TRUE,4,4
804,Music - Vocal,Female Solo,Video,No,Yes,Yes,No,1,2,F,FALSE,1,1
805,Music - Vocal,Female Duet,Video,No,Yes,Yes,No,0,2,F,TRUE,2,2
806,Music - Vocal,Female Trio,Video ,No,Yes,Yes,No,0,2,F,TRUE,3,3
807,Music - Vocal,Female Quartet,Video ,No,Yes,Yes,No,1,2,F,TRUE,4,4
808,Music - Vocal,Mixed Duet,Video,No,Yes,Yes,No,0,2,,TRUE,2,2
809,Music - Vocal,Mixed Trio,Video,No,Yes,Yes,No,0,2,,TRUE,3,3
810,Music - Vocal,Vocal Small Group,Video,No,Yes,Yes,No,1,2,,TRUE,2,4
813,Music - Vocal,Music Vocal Composition,Video,No,Yes,Yes,No,2,2,,TRUE,1,2
814,Music - Vocal,Music Vocal Arranging,Video ,No,Yes,Yes,No,2,2,,TRUE,1,2
850,Music - Vocal,Male Solo,Video ,No,Yes,Yes,No,1,4,M,FALSE,1,1
851,Music - Vocal,Male Duet,Video,No,Yes,Yes,No,0,4,M,TRUE,2,2
852,Music - Vocal,Male Trio,Video,No,Yes,Yes,No,0,4,M,TRUE,3,3
853,Music - Vocal,Male Quartet,Video,No,Yes,Yes,No,1,4,M,TRUE,4,4
854,Music - Vocal,Female Solo,Video,No,Yes,Yes,No,1,4,F,FALSE,1,1
855,Music - Vocal,Female Duet,Video ,No,Yes,Yes,No,0,4,F,TRUE,2,2
856,Music - Vocal,Female Trio,Video ,No,Yes,Yes,No,0,4,F,TRUE,3,3
857,Music - Vocal,Female Quartet,Video,No,Yes,Yes,No,1,4,F,TRUE,4,4
858,Music - Vocal,Mixed Duet,Video,No,Yes,Yes,No,0,4,,TRUE,2,2
859,Music - Vocal,Mixed Trio,Video,No,Yes,Yes,No,0,4,,TRUE,3,3
860,Music - Vocal,Mixed Quartet,Video,No,Yes,Yes,No,1,4,,TRUE,2,4
861,Music - Vocal,Vocal Ensemble,Video ,No,Yes,Yes,No,1,4,,TRUE,5,15
862,Music - Vocal,Choir,Video ,No,Yes,Yes,No,1,4,,TRUE,16,40
863,Music - Vocal,Music Vocal Composition,Document ,No,Yes,Yes,No,2,4,,TRUE,1,2
864,Music - Vocal,Music Vocal Arranging,Document ,No,Yes,Yes,No,2,4,,TRUE,1,2
